,0,1,accuracy,macro avg,weighted avg
precision,0.8933006980328166,0.3863347008063375,0.695303867403315,0.6398176994195771,0.7838408573056851
recall,0.6943348365276212,0.6988229273285568,0.695303867403315,0.6965788819280889,0.695303867403315
f1-score,0.7813503548348729,0.49758586134645166,0.695303867403315,0.6394681080906623,0.7200823083954945
support,14192.0,3908.0,0.695303867403315,18100.0,18100.0
