iter	Passed	Remaining
419	2810	10574
420	2816	10563
421	2822	10552
422	2827	10542
423	2833	10531
424	2839	10521
425	2844	10510
426	2850	10500
427	2856	10490
428	2862	10481
429	2867	10471
430	2873	10460
431	2879	10452
432	2885	10440
433	2891	10432
434	2897	10425
435	2903	10415
436	2908	10403
437	2913	10390
438	2919	10379
439	2923	10366
440	2929	10356
441	2935	10346
442	2940	10335
443	2946	10324
444	2951	10314
445	2957	10303
446	2962	10292
447	2968	10283
448	2973	10272
449	2979	10262
450	2985	10252
451	2990	10242
452	2996	10232
453	3002	10222
454	3008	10215
455	3014	10207
456	3020	10199
457	3029	10198
458	3034	10188
459	3040	10177
460	3046	10168
461	3051	10159
462	3057	10149
463	3062	10139
464	3068	10129
465	3074	10121
466	3080	10111
467	3086	10103
468	3092	10096
469	3098	10085
470	3103	10075
471	3109	10065
472	3114	10054
473	3120	10044
474	3125	10033
475	3131	10026
476	3137	10018
477	3143	10008
478	3148	9997
479	3154	9988
480	3159	9977
481	3165	9968
482	3170	9958
483	3176	9950
484	3182	9941
485	3188	9931
486	3193	9921
487	3198	9911
488	3204	9901
489	3210	9892
490	3217	9888
491	3224	9883
492	3230	9874
493	3236	9865
494	3241	9855
495	3247	9845
496	3252	9835
497	3258	9826
498	3263	9816
499	3269	9807
500	3274	9797
501	3280	9787
502	3285	9779
503	3291	9769
504	3296	9759
505	3301	9748
506	3306	9737
507	3311	9727
508	3317	9717
509	3322	9706
510	3327	9697
511	3332	9686
512	3338	9676
513	3343	9665
514	3348	9655
515	3353	9644
516	3358	9634
517	3363	9624
518	3369	9614
519	3374	9604
520	3379	9594
521	3384	9583
522	3390	9574
523	3396	9566
524	3401	9557
525	3408	9550
526	3413	9542
527	3419	9533
528	3425	9525
529	3431	9517
530	3436	9507
531	3442	9498
532	3447	9488
533	3452	9479
534	3458	9470
535	3464	9462
536	3470	9455
537	3477	9449
538	3483	9441
539	3488	9431
540	3494	9423
541	3499	9414
542	3505	9405
543	3510	9396
544	3516	9388
545	3522	9379
546	3527	9370
547	3533	9362
548	3539	9354
549	3544	9345
550	3550	9337
551	3556	9328
552	3562	9322
553	3568	9315
554	3574	9306
555	3581	9300
556	3587	9293
557	3593	9287
558	3600	9281
559	3607	9275
560	3613	9268
561	3619	9260
562	3624	9250
563	3629	9240
564	3634	9230
565	3639	9221
566	3644	9211
567	3649	9202
568	3655	9193
569	3660	9184
570	3666	9175
571	3672	9167
572	3677	9158
573	3682	9148
574	3687	9139
575	3693	9131
576	3699	9122
577	3705	9116
578	3711	9109
579	3717	9102
580	3723	9094
581	3730	9088
582	3735	9080
583	3741	9071
584	3746	9062
585	3752	9054
586	3757	9045
587	3763	9037
588	3769	9030
589	3775	9023
590	3781	9015
591	3786	9006
592	3792	8998
593	3797	8989
594	3803	8980
595	3809	8973
596	3815	8966
597	3820	8957
598	3826	8948
599	3831	8940
600	3837	8932
601	3843	8924
602	3849	8919
603	3855	8912
604	3862	8905
605	3867	8897
606	3873	8888
607	3879	8881
608	3884	8873
609	3890	8865
610	3896	8857
611	3902	8850
612	3908	8842
613	3913	8834
614	3919	8826
615	3925	8818
616	3931	8811
617	3936	8802
618	3942	8795
619	3948	8788
620	3954	8781
621	3960	8773
622	3966	8766
623	3971	8758
624	3977	8750
625	3983	8742
626	3988	8734
627	3994	8726
628	3999	8717
629	4004	8708
630	4010	8701
631	4017	8696
632	4024	8690
633	4029	8682
634	4036	8676
635	4042	8668
636	4047	8660
637	4052	8651
638	4058	8643
639	4063	8635
640	4068	8626
641	4074	8617
642	4079	8609
643	4084	8600
644	4090	8592
645	4095	8584
